ID_Cliente,Nombre,Edad,Genero,Departamento,Municipio,Email,Telefono,Fecha_Registro,Segmento
69,Eusebia Olivé Casas,49,F,San Salvador,Mejicanos,ygarzon@example.org,74507051,2022-10-29,Premium
70,Rómulo de Roig,29,M,Sonsonate,Municipio Principal,teresita43@example.com,79563485,2024-06-16,Premium
71,Renato Bermudez Arco,49,M,Chalatenango,Municipio Principal,escuderobienvenida@example.org,77852931,2025-04-13,Individual
72,Jenaro Jara Cabañas,66,M,La Paz,Municipio Principal,rcabezas@example.net,75555187,2023-07-31,Premium
73,Isaías Maestre Gámez,34,F,La Libertad,Antiguo Cuscatlán,solsonacasemiro@example.org,71901445,2024-05-02,Individual
74,Prudencia de Amor,19,F,Sonsonate,Municipio Principal,herranzmiguela@example.net,72438474,2023-03-02,Premium
75,Dora Costa-Arranz,79,F,Sonsonate,Municipio Principal,mosqueraamando@example.net,79008467,2023-02-27,Premium
76,Jose Francisco Puerta Villanueva,42,F,Chalatenango,Municipio Principal,pedrerocleto@example.net,74140905,2024-10-02,Individual
77,Raimundo Balduino Amores Quiroga,34,M,Chalatenango,Municipio Principal,azorinelias@example.org,74063544,2023-08-29,Individual
78,Zacarías Marti Múñiz,73,M,Cuscatlán,Municipio Principal,tapiaandres@example.org,79588383,2024-10-02,Individual
79,Reinaldo Sevillano Falcón,66,M,Santa Ana,Chalchuapa,guadalupeenriquez@example.org,72380035,2023-09-29,Individual
80,Belen Torres Carpio,55,M,Usulután,Municipio Principal,leopoldopena@example.org,77728228,2025-01-15,Individual
81,Duilio Fabra Fuster,80,F,La Libertad,Antiguo Cuscatlán,noelia98@example.net,79820412,2024-10-06,Premium
82,Marisol Pujadas,69,F,Usulután,Municipio Principal,gracia86@example.net,76606539,2024-12-22,Premium
83,Antonia Peláez Iglesia,76,F,Ahuachapán,Municipio Principal,marinoisidoro@example.org,73757380,2025-10-12,Premium
84,José Antonio Carlos Pinedo,40,F,Ahuachapán,Municipio Principal,amorclementina@example.net,72620588,2024-06-09,Individual
85,Ligia Alcaraz Diego,38,F,La Paz,Municipio Principal,urrutianilo@example.com,73200371,2023-09-01,Empresarial
86,Hernán Guitart Osorio,78,M,La Unión,Municipio Principal,mjodar@example.com,75448247,2023-05-18,Premium
87,Tito del Cantón,75,F,San Miguel,Nueva Guadalupe,martinezgraciela@example.org,71267150,2023-04-11,Premium
88,Asunción Rosell Goicoechea,27,M,La Paz,Municipio Principal,encarnitaalvarez@example.com,77401108,2025-04-02,Premium
89,Guiomar Carbajo Donoso,72,F,San Vicente,Municipio Principal,barberopepe@example.com,71455903,2024-10-15,Empresarial
90,Paco Florentino Carbonell Godoy,62,F,La Libertad,Zaragoza,sabina26@example.net,79496907,2024-05-08,Premium
91,Hernán Ordóñez-Coca,55,M,La Paz,Municipio Principal,tpi@example.org,75915522,2024-10-13,Empresarial
92,Benita Reig Peral,57,M,Cuscatlán,Municipio Principal,mblazquez@example.net,78142420,2023-07-12,Empresarial
93,Blanca del Perea,44,M,Chalatenango,Municipio Principal,salesnelida@example.com,74340754,2023-07-13,Empresarial
94,Corona Torres Carrasco,32,M,Cabañas,Municipio Principal,che15@example.net,79151497,2023-10-21,Premium
95,Juan Bautista Gras Cáceres,19,M,San Miguel,San Miguel,margarita94@example.org,74844278,2024-04-28,Premium
96,Camilo Blanco,18,F,San Vicente,Municipio Principal,qbarbero@example.net,74600230,2023-02-27,Premium
97,Remedios Soledad Checa Montalbán,73,M,Chalatenango,Municipio Principal,gertrudisiglesia@example.com,76305440,2023-07-17,Empresarial
98,Zaira Valencia Coca,20,F,La Unión,Municipio Principal,artemio60@example.com,76401993,2023-04-08,Empresarial
99,Salomón Rebollo-Giménez,54,F,Chalatenango,Municipio Principal,duilio14@example.org,71770521,2025-04-24,Empresarial
100,Yolanda Fuentes Gil,47,M,Usulután,Municipio Principal,salvador03@example.com,73000799,2024-01-31,Empresarial
101,Ana Sofía Cuenca,19,F,La Unión,Municipio Principal,maximaagudo@example.org,72427767,2024-07-11,Empresarial
102,Mónica Peinado Rivas,27,F,Chalatenango,Municipio Principal,viglesias@example.net,77526298,2025-03-25,Premium
103,Baldomero Lucena Asenjo,64,F,Morazán,Municipio Principal,hcarballo@example.org,73251886,2025-06-21,Empresarial
104,Fermín Valero Roma,19,M,Sonsonate,Municipio Principal,marco26@example.org,77238466,2025-09-07,Individual
105,Celestina Fuente Valls,30,M,Cabañas,Municipio Principal,omar44@example.org,75128233,2025-02-26,Individual
106,Rafa Kike Cruz Lucena,51,M,Ahuachapán,Municipio Principal,leandro90@example.org,72143275,2023-10-21,Individual
107,Maribel Casal Rios,50,F,Cabañas,Municipio Principal,silvestre83@example.com,71848242,2023-05-28,Individual
108,Azahar Canet Ibáñez,20,M,Cabañas,Municipio Principal,fvendrell@example.com,71111995,2022-12-07,Premium
109,José Ángel Cózar Peñas,41,M,La Paz,Municipio Principal,jbartolome@example.net,73258428,2023-01-17,Empresarial
110,Montserrat Cabeza-Cáceres,35,F,Ahuachapán,Municipio Principal,victoria68@example.org,77852084,2023-04-03,Premium
111,Cruz de Ochoa,41,M,Cuscatlán,Municipio Principal,jose-manuel81@example.org,72757844,2025-01-20,Individual
112,Miguel Marino Ibarra Cánovas,75,F,La Paz,Municipio Principal,requenavictoriano@example.net,79724540,2024-01-05,Individual
113,Luis Carballo Bertrán,75,M,San Miguel,Nueva Guadalupe,irisugarte@example.org,76206556,2024-10-10,Individual
114,María Ángeles Figueroa Carbonell,21,M,Cabañas,Municipio Principal,guzmannadia@example.org,73135308,2025-09-24,Empresarial
115,Duilio Palomino Soto,38,M,Usulután,Municipio Principal,emilia16@example.org,76822630,2023-12-14,Individual
116,Rico Albino Montaña Hierro,38,F,Sonsonate,Municipio Principal,mmarin@example.net,73585798,2022-11-28,Empresarial
117,Baltasar Llano Hidalgo,62,M,San Salvador,Delgado,talvaro@example.org,74636071,2023-08-02,Individual
118,Evelia Marcia Roldan Vazquez,54,F,Sonsonate,Municipio Principal,zpombo@example.net,72584712,2025-07-27,Premium
119,Félix Echeverría-Bolaños,79,M,San Vicente,Municipio Principal,nechevarria@example.net,73483670,2025-07-13,Premium
120,Pepito Losada Cuervo,28,F,San Miguel,Chinameca,ariasalbano@example.org,76667698,2024-03-19,Individual
121,Ariadna Uribe Guitart,36,M,Cabañas,Municipio Principal,ecuellar@example.org,75422746,2024-09-14,Premium
122,Casandra Ordóñez Carreras,47,M,Sonsonate,Municipio Principal,etelvinanadal@example.org,73421624,2025-02-25,Empresarial
123,Isidoro Moya,24,M,La Unión,Municipio Principal,oliviamaza@example.com,77737313,2023-03-04,Premium
124,Graciela del Iglesia,73,F,Sonsonate,Municipio Principal,carlos02@example.net,78793969,2023-06-24,Premium
125,Maximiliano Manzanares Arnaiz,63,F,Cuscatlán,Municipio Principal,inigo00@example.com,79698579,2024-11-19,Premium
126,Adolfo Pardo Sobrino,44,F,La Paz,Municipio Principal,andreaamor@example.com,76793513,2023-08-09,Premium
127,Rocío Pedrero Blanch,63,M,San Vicente,Municipio Principal,pzamorano@example.net,76372243,2023-10-06,Premium
128,Ernesto Pont,74,F,La Libertad,Antiguo Cuscatlán,merche87@example.net,71265278,2023-05-31,Empresarial
129,Aitana Vicente Manuel,32,F,Cabañas,Municipio Principal,egilabert@example.com,74121190,2024-06-22,Individual
130,Griselda Carmen Matas Ribes,19,M,Morazán,Municipio Principal,vneira@example.net,74787640,2024-08-31,Empresarial
131,Eloy Peinado Suarez,68,F,Santa Ana,Metapán,marcelino59@example.net,77582156,2024-03-21,Individual
132,Alejandro Fonseca Mir,68,F,La Paz,Municipio Principal,crescenciapol@example.org,78524168,2025-09-25,Individual
133,Alonso Marin Piquer,74,F,Usulután,Municipio Principal,baezacloe@example.net,76031704,2023-08-06,Empresarial
134,Virginia Castañeda Moles,79,M,San Miguel,San Miguel,oriana34@example.net,78010235,2023-10-17,Empresarial
135,Nico Real Narváez,36,M,La Paz,Municipio Principal,borrasmaria-dolores@example.org,79226387,2024-03-25,Premium
136,Baudelio Fuertes Santiago,42,M,Usulután,Municipio Principal,arellanomario@example.net,74687700,2024-02-24,Premium
137,Sonia Andreu Goicoechea,42,F,Sonsonate,Municipio Principal,reyescayetana@example.net,78639243,2025-05-01,Individual
138,Carmina Tur Teruel,52,M,San Salvador,Delgado,urrutiacarmelita@example.com,73492867,2024-07-25,Individual
139,Alcides Miró,80,M,San Vicente,Municipio Principal,hortensia06@example.net,77213480,2024-12-13,Individual
140,Horacio del Santiago,48,M,Morazán,Municipio Principal,gordillomerche@example.com,77913713,2023-06-09,Empresarial
141,Nadia Sevilla Miguel,37,F,Usulután,Municipio Principal,telloflorentina@example.com,78012250,2024-11-28,Individual
142,Anacleto Hervás Botella,37,F,La Unión,Municipio Principal,natalia17@example.com,76522090,2023-09-22,Premium
143,Melchor Reina-Rocha,70,F,La Unión,Municipio Principal,svillar@example.net,75722740,2022-12-16,Individual
144,Fabián del Contreras,51,M,Santa Ana,Chalchuapa,claudio22@example.org,72616844,2024-07-24,Premium
145,Óscar Botella,20,F,San Vicente,Municipio Principal,heliodoro49@example.com,72657517,2024-11-12,Premium
146,Chucho Valcárcel Carrillo,20,F,San Miguel,Nueva Guadalupe,spenas@example.net,78217540,2025-01-25,Individual
147,Vicente Briones-Segura,33,M,Santa Ana,Metapán,grandecruz@example.net,71570393,2023-03-31,Individual
148,Noa Artigas Marti,40,M,Cuscatlán,Municipio Principal,morena42@example.net,76574364,2023-06-18,Empresarial
149,Joaquina Aitana Suarez Feijoo,41,M,Ahuachapán,Municipio Principal,ceciliamartin@example.net,71128354,2023-11-11,Empresarial
150,Américo Nieto Ródenas,44,M,San Vicente,Municipio Principal,fortunatotorralba@example.net,71435951,2023-12-24,Individual
151,Pilar Robledo Clavero,19,F,Santa Ana,Metapán,dmateo@example.org,76196177,2024-05-04,Premium
152,Mamen Verdejo Gisbert,19,F,Morazán,Municipio Principal,doralosa@example.net,73262282,2025-10-06,Empresarial
153,Marisol Carreño Clemente,41,F,Sonsonate,Municipio Principal,juradomaria@example.net,73140982,2023-09-01,Empresarial
154,Rosalina Buendía Olmedo,39,M,San Salvador,Soyapango,marcelonino@example.net,74235856,2025-01-31,Premium
155,Marta Castejón Santamaria,66,M,Morazán,Municipio Principal,cosme35@example.com,79892042,2024-07-19,Premium
156,Fátima Jara,36,M,San Vicente,Municipio Principal,socorrovilla@example.com,72170243,2025-08-19,Individual
157,Leyre Salinas,35,M,Sonsonate,Municipio Principal,yesicaaliaga@example.com,72879971,2024-07-02,Empresarial
158,Leyre Querol Carnero,20,M,Chalatenango,Municipio Principal,cabezanatanael@example.com,76990650,2024-07-13,Empresarial
159,Isidro Guzman Olmo,31,M,Ahuachapán,Municipio Principal,teresamendez@example.com,74015391,2024-12-16,Premium
160,Nydia Marina Pedrero Garay,43,F,La Unión,Municipio Principal,cvillalba@example.com,73647475,2024-07-08,Premium
161,Jeremías Catalán-Landa,30,F,La Unión,Municipio Principal,pbertran@example.net,78934653,2024-07-06,Premium
162,Severiano Roldan Montserrat,23,M,Sonsonate,Municipio Principal,flor52@example.net,71952768,2025-05-15,Premium
163,Luis Miguel Romeu Almeida,31,M,Cuscatlán,Municipio Principal,esmeraldabonet@example.org,78624287,2025-08-28,Empresarial
164,Jacinto de Rocamora,46,F,Cabañas,Municipio Principal,benita85@example.com,79210290,2022-10-25,Empresarial
165,Ovidio Giménez Trujillo,70,F,Cabañas,Municipio Principal,trubio@example.net,74695220,2024-12-31,Individual
166,Nilda Aroca Cabello,54,M,Sonsonate,Municipio Principal,bertaropero@example.com,79807884,2025-07-13,Individual
167,Leonor Alarcón,63,M,San Salvador,San Salvador,maria-belenagullo@example.com,72845786,2025-03-06,Premium
168,Patricio de Chaves,72,M,Morazán,Municipio Principal,vallejoprudencia@example.org,78171207,2023-04-02,Individual
169,José Luis Mena Sanjuan,39,F,San Vicente,Municipio Principal,sergio44@example.org,76898774,2025-02-06,Individual
170,Visitación Infante Sierra,42,F,Ahuachapán,Municipio Principal,atilio78@example.com,73074799,2023-01-15,Empresarial
171,María Del Carmen Redondo Sabater,21,F,Cabañas,Municipio Principal,hcorral@example.net,76920771,2023-03-23,Individual
172,Martirio Rebollo Soria,39,M,Sonsonate,Municipio Principal,edgar95@example.net,71841934,2025-01-22,Premium
173,Vicenta del Cantero,65,F,Cuscatlán,Municipio Principal,ursula43@example.org,72177263,2024-04-18,Premium
174,Toño Martinez Cabañas,76,F,San Salvador,Mejicanos,guadalupesanabria@example.com,72069688,2024-03-28,Premium
175,Isa Chelo Bartolomé Lorenzo,25,M,Chalatenango,Municipio Principal,pacifica13@example.org,75400742,2024-02-24,Individual
176,Griselda Heredia Fernández,73,F,Santa Ana,Chalchuapa,ingridtalavera@example.net,74741178,2024-11-20,Premium
177,Albino Santana Acero,23,F,Usulután,Municipio Principal,rocioarellano@example.net,72616377,2024-03-17,Premium
178,Guillermo Leiva-Aguirre,22,M,Sonsonate,Municipio Principal,bpinto@example.org,74147310,2025-08-28,Premium
179,Ismael Esteve-Alcaraz,58,M,La Paz,Municipio Principal,asenjogerardo@example.com,79981875,2025-09-13,Empresarial
180,Daniela Nicolau,41,F,Santa Ana,Chalchuapa,colomerfebe@example.com,77247346,2025-06-17,Premium
181,Moisés Cantón Blanca,70,F,Cuscatlán,Municipio Principal,azenethleon@example.com,77407135,2024-04-04,Premium
182,Jacobo Frutos Melero,73,F,Ahuachapán,Municipio Principal,joel83@example.com,72029784,2024-09-11,Premium
183,África Orozco Jurado,73,F,Ahuachapán,Municipio Principal,corona88@example.com,73937682,2025-01-23,Empresarial
184,Gala Talavera Carpio,55,F,Santa Ana,Chalchuapa,nayara77@example.org,74593022,2023-05-07,Premium
185,Reyes Ramirez,54,M,La Paz,Municipio Principal,ocompany@example.org,73332087,2023-04-06,Empresarial
186,David Flores-Solé,68,M,Santa Ana,Metapán,carlospalomares@example.com,74556706,2023-06-09,Empresarial
187,Samuel Aguilar-Esparza,30,M,San Miguel,Chinameca,asalvador@example.net,79196561,2024-05-04,Premium
188,Severo Juan Rosales,40,F,San Vicente,Municipio Principal,quique02@example.org,71850531,2025-01-06,Premium
189,Dora Luz Neira,34,M,La Unión,Municipio Principal,ncarreras@example.com,72397262,2024-11-03,Individual
190,Fermín Mascaró Montesinos,35,F,Morazán,Municipio Principal,trinidad35@example.com,77473215,2024-05-20,Premium
191,Marina Almagro Zamora,52,F,Chalatenango,Municipio Principal,iarellano@example.org,73824407,2025-06-02,Empresarial
192,María Cristina Dominga Galván Acero,43,M,Ahuachapán,Municipio Principal,beatrizpablo@example.com,73145668,2022-10-28,Empresarial
193,Sara Sanjuan Morales,18,M,La Unión,Municipio Principal,marinzaida@example.org,74405899,2025-08-24,Premium
194,Florina Adadia-Verdú,78,F,La Libertad,Zaragoza,leonteodosio@example.org,74242357,2023-05-21,Premium
195,Albino Valero España,61,M,Cuscatlán,Municipio Principal,vitosandoval@example.com,79860633,2023-01-20,Empresarial
196,Rocío Mateu Cabrero,40,F,La Libertad,Zaragoza,rosariosola@example.org,77651329,2022-11-29,Empresarial
197,Petrona Peláez Ferrero,73,M,Cabañas,Municipio Principal,casemiroesparza@example.net,79503046,2024-04-01,Empresarial
198,Adoración Adán Pulido,33,M,Usulután,Municipio Principal,joan29@example.com,74980522,2025-09-06,Individual
199,León Castillo Rodríguez,21,F,Cabañas,Municipio Principal,apalomares@example.org,79667889,2025-01-05,Premium
200,Marina Manrique Jimenez,41,M,Cuscatlán,Municipio Principal,cespedesrufina@example.net,78398329,2025-02-14,Premium
201,Iker Lorenzo Madrid Tejero,43,M,Cuscatlán,Municipio Principal,qriera@example.net,78077593,2023-07-10,Empresarial
202,Rosario Vara Rueda,54,M,Cabañas,Municipio Principal,azeneth41@example.net,77666552,2024-08-30,Premium
203,Luís Córdoba,47,M,Santa Ana,Santa Ana,elisabet37@example.org,71421841,2025-09-13,Individual
204,Calista Zamora,66,F,La Paz,Municipio Principal,aceroconsuelo@example.com,77408208,2025-04-15,Empresarial
205,Ruben Murcia Cáceres,68,M,San Salvador,San Salvador,mpages@example.net,76029306,2023-04-01,Individual
206,Marcelo Octavio Agudo Peláez,65,M,Morazán,Municipio Principal,dsoria@example.org,74975675,2024-04-14,Individual
207,Fidel Páez Pulido,55,F,La Paz,Municipio Principal,norberto76@example.net,75917709,2024-02-19,Individual
208,Macario Pintor Alvarado,60,F,San Salvador,San Salvador,jose-ignaciocal@example.net,77105902,2024-12-27,Premium
209,Octavia Carlos Vargas,63,M,Santa Ana,Chalchuapa,jaeninocencio@example.org,76650752,2023-05-30,Individual
210,Jose Carlos Cano,60,M,La Libertad,Zaragoza,lisandro57@example.net,76346019,2024-02-01,Premium
211,María Díez Casals,51,F,Ahuachapán,Municipio Principal,itziar36@example.com,77036419,2024-01-19,Premium
212,Basilio Molina,38,M,Usulután,Municipio Principal,cloe82@example.com,75200098,2024-03-02,Empresarial
213,Gaspar Gual Viña,29,F,Ahuachapán,Municipio Principal,valencianoaraceli@example.org,77068586,2022-12-10,Premium
214,Teodoro Sáenz-Casals,56,F,Chalatenango,Municipio Principal,ferrandorenato@example.net,71173723,2023-02-18,Empresarial
215,Rubén Almansa Fajardo,38,M,Ahuachapán,Municipio Principal,murciatere@example.net,76798864,2023-08-22,Premium
216,Encarna Cañete Rozas,48,F,Morazán,Municipio Principal,agelabert@example.net,75837126,2023-06-23,Premium
217,África Quintero Orozco,50,F,Cabañas,Municipio Principal,hipolitooliver@example.org,75198570,2024-10-02,Empresarial
218,Fabiana Saez Ribas,21,F,Morazán,Municipio Principal,lazarotejada@example.org,74324787,2023-08-23,Premium
219,Teodosio Pou,54,F,San Vicente,Municipio Principal,estelabuendia@example.net,75580263,2024-11-10,Individual
220,Maristela Cabrera Álvaro,46,F,La Paz,Municipio Principal,rochacarmelo@example.com,79217122,2023-09-06,Premium
221,Herminio Chacón Rojas,64,F,La Libertad,Santa Tecla,perlagoni@example.com,72633498,2025-02-23,Empresarial
222,Dalila Huguet Valentín,32,M,Santa Ana,Chalchuapa,margaritacuellar@example.org,78199116,2022-11-01,Premium
223,África Natalia Ramirez Larrea,42,F,Usulután,Municipio Principal,morantesamu@example.org,72599362,2022-11-21,Individual
224,Paula Sanabria Domínguez,74,F,San Vicente,Municipio Principal,banosmarita@example.com,79742178,2023-11-22,Empresarial
225,Flor Maza,78,F,San Salvador,Delgado,lucas07@example.org,74373009,2023-07-20,Premium
226,Cayetana Reina-Millán,54,F,Chalatenango,Municipio Principal,lmanjon@example.org,79402254,2025-04-04,Individual
227,Lola Cerdán Rodriguez,79,M,La Paz,Municipio Principal,ambrosiorivas@example.org,73324973,2024-06-20,Individual
228,Rafael Rivero Calzada,71,M,Morazán,Municipio Principal,jplanas@example.net,74535987,2024-12-01,Premium
229,Dionisio Córdoba Galvez,26,M,Usulután,Municipio Principal,florencia51@example.com,78568532,2023-07-14,Individual
230,Feliciana Cañas Arteaga,71,M,Cuscatlán,Municipio Principal,sobrinoetelvina@example.com,73283836,2024-05-11,Empresarial
231,Manu de Llamas,74,F,Cabañas,Municipio Principal,evangelina34@example.com,77820711,2023-01-25,Individual
232,Fulgencio Carreras Verdú,30,M,Cuscatlán,Municipio Principal,baltasaryanez@example.com,72237283,2023-07-31,Individual
233,Bernardino Quintero Villanueva,51,M,La Libertad,Antiguo Cuscatlán,flora05@example.net,76552742,2024-07-26,Empresarial
234,Jose Miguel Vives Pozo,19,F,La Paz,Municipio Principal,salomefrias@example.com,72383423,2023-07-31,Premium
235,Viviana Elisabet Medina Morell,74,F,Usulután,Municipio Principal,nico05@example.net,76305130,2024-06-24,Premium
